Date:  17:39, Sunday, May 10, 2026
Model name: assembly droit firxed for 10mm
Study name: Static 1(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,7.311e+05   ,752.79  ,906.77  ,1278.4
2  ,3.163e+05   ,752.79  ,900.87  ,1278.4
3  ,3.382e+05   ,752.79  ,900.37  ,1277.9
4  ,1.101e+06   ,752.79  ,907.27  ,1277.9
5  ,4.194e+01   ,752.79  ,900.87  ,1304.9
6  ,4.509e+01   ,752.79  ,906.77  ,1304.9
7  ,3.681e+01   ,757.29  ,903.82  ,1304.9
8  ,3.911e+01   ,748.29  ,903.82  ,1304.9
9  ,1.196e+05   ,748.29  ,903.82  ,1283.4
10  ,2.553e+05   ,757.29  ,903.82  ,1283.4
11  ,1.105e+05   ,753.91  ,899.46  ,1283.4
12  ,3.402e+05   ,449.84  ,900.87  ,1278.4
13  ,8.922e+05   ,449.84  ,906.77  ,1278.4
14  ,3.196e+05   ,449.84  ,900.37  ,1277.9
15  ,1.055e+06   ,449.84  ,907.27  ,1277.9
16  ,7.493e+01   ,449.84  ,906.77  ,1304.9
17  ,1.027e+02   ,449.84  ,900.87  ,1304.9
18  ,7.192e+01   ,454.34  ,903.82  ,1304.9
19  ,3.374e+01   ,445.34  ,903.82  ,1304.9
20  ,1.048e+05   ,454.34  ,903.82  ,1283.4
21  ,3.472e+05   ,448.72  ,908.18  ,1283.4
22  ,2.752e+05   ,445.34  ,903.82  ,1283.4
23  ,6.286e+05   ,601.82  ,929.43  ,1302.3
24  ,6.547e+05   ,600.82  ,929.43  ,1302.3
25  ,7.531e+05   ,601.82  ,929.43  ,1277.9
26  ,8.140e+05   ,600.82  ,929.43  ,1277.9
27  ,8.906e+05   ,611.32  ,929.43  ,1277.9
28  ,3.734e+05   ,611.32  ,929.43  ,1305.2
29  ,3.850e+05   ,591.32  ,929.43  ,1305.2
30  ,8.822e+05   ,591.32  ,929.43  ,1277.9
31  ,2.128e+06   ,583.32  ,921.57  ,1303.7
