Date:  17:47, Sunday, May 10, 2026
Model name: assembly droit firxed for 10mm
Study name: Static 2 – Side impact(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,1.233e+05   ,752.79  ,906.77  ,1278.4
2  ,7.399e+04   ,752.79  ,900.87  ,1278.4
3  ,4.796e+04   ,752.79  ,900.37  ,1277.9
4  ,1.361e+05   ,752.79  ,907.27  ,1277.9
5  ,1.271e+01   ,752.79  ,900.87  ,1304.9
6  ,8.257e+00   ,752.79  ,906.77  ,1304.9
7  ,4.282e+00   ,757.29  ,903.82  ,1304.9
8  ,1.010e+01   ,748.29  ,903.82  ,1304.9
9  ,3.308e+04   ,748.29  ,903.82  ,1283.4
10  ,3.873e+04   ,757.29  ,903.82  ,1283.4
11  ,1.985e+04   ,753.91  ,899.46  ,1283.4
12  ,2.685e+05   ,449.84  ,900.87  ,1278.4
13  ,2.937e+05   ,449.84  ,906.77  ,1278.4
14  ,2.511e+05   ,449.84  ,900.37  ,1277.9
15  ,4.104e+05   ,449.84  ,907.27  ,1277.9
16  ,1.154e+02   ,449.84  ,906.77  ,1304.9
17  ,7.814e+01   ,449.84  ,900.87  ,1304.9
18  ,6.705e+01   ,454.34  ,903.82  ,1304.9
19  ,1.819e+01   ,445.34  ,903.82  ,1304.9
20  ,4.066e+04   ,454.34  ,903.82  ,1283.4
21  ,1.278e+05   ,448.72  ,908.18  ,1283.4
22  ,1.749e+05   ,445.34  ,903.82  ,1283.4
23  ,1.377e+05   ,601.82  ,929.43  ,1302.3
24  ,1.480e+05   ,600.82  ,929.43  ,1302.3
25  ,1.295e+05   ,601.82  ,929.43  ,1277.9
26  ,1.456e+05   ,600.82  ,929.43  ,1277.9
27  ,1.323e+05   ,611.32  ,929.43  ,1277.9
28  ,1.402e+05   ,611.32  ,929.43  ,1305.2
29  ,1.833e+05   ,591.32  ,929.43  ,1305.2
30  ,1.714e+05   ,591.32  ,929.43  ,1277.9
31  ,7.697e+04   ,583.32  ,921.57  ,1303.7
32  ,1.116e+05   ,619.32  ,921.57  ,1303.7
33  ,7.420e+04   ,619.32  ,921.57  ,1302.2
34  ,2.260e+04   ,626.82  ,921.57  ,1302.2
35  ,5.509e+04   ,626.82  ,921.57  ,1283.7
36  ,3.240e+04   ,627.92  ,921.57  ,1283.7
37  ,4.534e+04   ,627.92  ,921.57  ,1283.5
38  ,2.159e+04   ,612.8  ,921.57  ,1275.7
39  ,1.592e+04   ,601.82  ,921.57  ,1275.7
40  ,3.049e+04   ,601.82  ,921.57  ,1300.8
41  ,2.939e+04   ,600.82  ,921.57  ,1300.8
42  ,1.224e+04   ,600.82  ,921.57  ,1275.7
43  ,9.755e+03   ,589.84  ,921.57  ,1275.7
44  ,1.087e+04   ,574.72  ,921.57  ,1283.5
45  ,1.779e+04   ,574.72  ,921.57  ,1283.7
46  ,8.368e+03   ,575.82  ,921.57  ,1283.7
47  ,8.179e+03   ,575.82  ,921.57  ,1302.2
48  ,5.008e+04   ,583.32  ,921.57  ,1302.2
49  ,1.369e+04   ,612.14  ,920.07  ,1275.4
50  ,2.036e+04   ,590.49  ,920.07  ,1275.4
51  ,5.790e+04   ,625.32  ,920.07  ,1282.1
52  ,3.447e+04   ,625.32  ,920.07  ,1303.7
53  ,1.263e+04   ,577.32  ,920.07  ,1303.7
54  ,1.803e+04   ,577.32  ,920.07  ,1282.1
55  ,1.167e+04   ,628.32  ,921.8  ,1303.7
56  ,9.947e+04   ,628.32  ,926.93  ,1303.7
57  ,8.807e+04   ,628.33  ,927.15  ,1303.7
58  ,8.930e+04   ,628.32  ,927.15  ,1303.7
59  ,8.902e+04   ,619.32  ,927.15  ,1303.7
60  ,7.100e+04   ,583.32  ,927.15  ,1303.7
61  ,5.721e+04   ,574.32  ,927.15  ,1303.7
62  ,4.918e+04   ,574.31  ,927.15  ,1303.7
63  ,5.589e+04   ,574.32  ,926.93  ,1303.7
64  ,3.982e+03   ,574.32  ,921.8  ,1303.7
65  ,5.661e+04   ,375.67  ,933.43  ,1277.9
66  ,7.660e+00   ,826.97  ,933.43  ,1277.9
67  ,8.228e+00   ,828.88  ,930.83  ,1277.9
68  ,9.931e-02   ,796.35  ,827.66  ,1277.9
69  ,1.256e-01   ,792.53  ,828.86  ,1277.9
70  ,7.081e-01   ,800.16  ,853.06  ,1277.9
71  ,1.845e-01   ,799.08  ,855.94  ,1277.9
72  ,2.768e+00   ,805.48  ,870.26  ,1277.9
73  ,3.578e-01   ,803.79  ,870.79  ,1277.9
74  ,2.041e+00   ,804.25  ,872.22  ,1277.9
