Date:  19:56, Sunday, May 10, 2026
Model name: assembly droit firxed for 10mm
Study name: Static 2 – Side impact (Left)(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
1  ,3.171e+05   ,752.79  ,906.77  ,1278.4
2  ,2.734e+05   ,752.79  ,900.87  ,1278.4
3  ,2.402e+05   ,752.79  ,900.37  ,1277.9
4  ,4.329e+05   ,752.79  ,907.27  ,1277.9
5  ,5.784e+01   ,752.79  ,900.87  ,1304.9
6  ,8.689e+01   ,752.79  ,906.77  ,1304.9
7  ,3.546e+01   ,757.29  ,903.82  ,1304.9
8  ,2.873e+01   ,748.29  ,903.82  ,1304.9
9  ,4.977e+04   ,748.29  ,903.82  ,1283.4
10  ,1.640e+05   ,757.29  ,903.82  ,1283.4
11  ,1.306e+05   ,753.91  ,899.46  ,1283.4
12  ,6.017e+04   ,449.84  ,900.87  ,1278.4
13  ,1.018e+05   ,449.84  ,906.77  ,1278.4
14  ,4.983e+04   ,449.84  ,900.37  ,1277.9
15  ,1.276e+05   ,449.84  ,907.27  ,1277.9
16  ,1.212e+01   ,449.84  ,906.77  ,1304.9
17  ,1.472e+01   ,449.84  ,900.87  ,1304.9
18  ,6.021e+00   ,454.34  ,903.82  ,1304.9
19  ,6.875e+00   ,445.34  ,903.82  ,1304.9
20  ,2.993e+04   ,454.34  ,903.82  ,1283.4
21  ,6.318e+04   ,448.72  ,908.18  ,1283.4
22  ,4.283e+04   ,445.34  ,903.82  ,1283.4
23  ,1.404e+05   ,601.82  ,929.43  ,1302.3
24  ,1.447e+05   ,600.82  ,929.43  ,1302.3
25  ,1.347e+05   ,601.82  ,929.43  ,1277.9
26  ,1.465e+05   ,600.82  ,929.43  ,1277.9
27  ,1.703e+05   ,611.32  ,929.43  ,1277.9
28  ,1.817e+05   ,611.32  ,929.43  ,1305.2
29  ,1.417e+05   ,591.32  ,929.43  ,1305.2
30  ,1.305e+05   ,591.32  ,929.43  ,1277.9
31  ,1.112e+05   ,583.32  ,921.57  ,1303.7
32  ,7.764e+04   ,619.32  ,921.57  ,1303.7
33  ,5.021e+04   ,619.32  ,921.57  ,1302.2
34  ,8.876e+03   ,626.82  ,921.57  ,1302.2
35  ,1.212e+04   ,626.82  ,921.57  ,1283.7
36  ,1.839e+04   ,627.92  ,921.57  ,1283.7
37  ,1.349e+04   ,627.92  ,921.57  ,1283.5
38  ,9.873e+03   ,612.8  ,921.57  ,1275.7
39  ,1.470e+04   ,601.82  ,921.57  ,1275.7
40  ,3.025e+04   ,601.82  ,921.57  ,1300.8
41  ,2.942e+04   ,600.82  ,921.57  ,1300.8
42  ,1.339e+04   ,600.82  ,921.57  ,1275.7
43  ,2.030e+04   ,589.84  ,921.57  ,1275.7
44  ,4.517e+04   ,574.72  ,921.57  ,1283.5
45  ,2.858e+04   ,574.72  ,921.57  ,1283.7
46  ,3.872e+04   ,575.82  ,921.57  ,1283.7
47  ,2.181e+04   ,575.82  ,921.57  ,1302.2
48  ,7.388e+04   ,583.32  ,921.57  ,1302.2
49  ,2.043e+04   ,612.14  ,920.07  ,1275.4
50  ,1.378e+04   ,590.49  ,920.07  ,1275.4
51  ,1.792e+04   ,625.32  ,920.07  ,1282.1
52  ,1.274e+04   ,625.32  ,920.07  ,1303.7
53  ,3.470e+04   ,577.32  ,920.07  ,1303.7
54  ,5.065e+04   ,577.32  ,920.07  ,1282.1
55  ,3.866e+03   ,628.32  ,921.8  ,1303.7
56  ,6.426e+04   ,628.32  ,926.93  ,1303.7
57  ,5.337e+04   ,628.33  ,927.15  ,1303.7
58  ,5.713e+04   ,628.32  ,927.15  ,1303.7
59  ,7.126e+04   ,619.32  ,927.15  ,1303.7
60  ,8.938e+04   ,583.32  ,927.15  ,1303.7
61  ,9.658e+04   ,574.32  ,927.15  ,1303.7
62  ,9.724e+04   ,574.31  ,927.15  ,1303.7
63  ,9.104e+04   ,574.32  ,926.93  ,1303.7
64  ,1.130e+04   ,574.32  ,921.8  ,1303.7
65  ,4.426e+00   ,375.67  ,933.43  ,1277.9
66  ,3.781e+04   ,826.97  ,933.43  ,1277.9
67  ,7.811e+04   ,828.88  ,930.83  ,1277.9
68  ,8.918e+04   ,796.35  ,827.66  ,1277.9
69  ,6.710e+04   ,792.53  ,828.86  ,1277.9
70  ,4.418e+05   ,800.16  ,853.06  ,1277.9
71  ,4.007e+04   ,799.08  ,855.94  ,1277.9
72  ,7.872e+05   ,805.48  ,870.26  ,1277.9
73  ,9.251e+04   ,803.79  ,870.79  ,1277.9
74  ,4.542e+05   ,804.25  ,872.22  ,1277.9
75  ,7.951e+05   ,806.03  ,871.66  ,1277.9
76  ,3.629e+06   ,812.04  ,890.73  ,1277.9
77  ,1.621e+06   ,810.26  ,891.29  ,1277.9
78  ,1.347e+06   ,810.71  ,892.72  ,1277.9
79  ,3.606e+06   ,812.4  ,892.19  ,1277.9
80  ,2.900e+06   ,815.36  ,907.51  ,1277.9
81  ,1.114e+07   ,817.15  ,906.95  ,1277.9
82  ,3.460e+06   ,810.99  ,913.25  ,1277.9
83  ,3.736e+05   ,754.59  ,896.9  ,1277.9
84  ,6.711e+03   ,747.33  ,896.9  ,1277.9
85  ,2.662e+04   ,745.33  ,898.9  ,1277.9
86  ,2.047e+05   ,745.33  ,926.43  ,1277.9
87  ,4.667e+05   ,742.33  ,929.43  ,1277.9
88  ,2.282e+05   ,630.82  ,929.43  ,1277.9
89  ,2.522e+04   ,628.39  ,927.54  ,1277.9
90  ,1.552e+05   ,612.82  ,929.34  ,1277.9
91  ,4.111e+04   ,612.82  ,927.57  ,1277.9
92  ,5.053e+04   ,611.32  ,927.57  ,1277.9
93  ,4.285e+04   ,591.32  ,927.57  ,1277.9
94  ,3.008e+04   ,589.82  ,927.57  ,1277.9
95  ,1.177e+05   ,589.82  ,929.34  ,1277.9
96  ,1.274e+04   ,574.24  ,927.54  ,1277.9
97  ,1.435e+05   ,571.82  ,929.43  ,1277.9
98  ,9.270e+04   ,460.31  ,929.43  ,1277.9
99  ,1.209e+05   ,457.31  ,926.43  ,1277.9
100  ,5.833e+03   ,457.31  ,898.9  ,1277.9
101  ,2.325e+03   ,455.31  ,896.9  ,1277.9
102  ,1.910e+04   ,448.05  ,896.9  ,1277.9
103  ,1.117e+03   ,391.65  ,913.25  ,1277.9
